,Lat,Long,Name,D,DeltaD,H,DeltaH,c
0,0.0,0.0,Gr1,30800.0,2900.0,113.0,8.0,0.71
1,-0.75,-14.84,Ga1,34500.0,3200.0,141.0,12.0,0.93
2,30.7,10.2,V1,29900.0,3100.0,130.0,13.0,0.86
3,11.68,-31.53,M13,36600.0,4300.0,130.0,8.0,0.72
4,55.71,0.71,Ar1,33000.0,0.0,70.0,0.0,0.0
5,55.71,1.05,Ar1e,14200.0,1700.0,71.0,2.0,0.4
6,11.06,36.75,C11,20500.0,3100.0,82.0,10.0,0.93
7,-26.63,-47.88,Pa1,13400.0,2800.0,65.0,8.0,0.87
8,47.08,-29.16,L6,14000.0,1500.0,50.0,2.0,0.47
9,31.89,10.26,V2,12600.0,1800.0,80.0,5.0,0.84
10,7.06,34.66,C9,13300.0,0.0,15.0,0.0,0.0
11,10.0,35.19,C10,19200.0,0.0,50.0,0.0,0.0
