lat0,lon0,name,c,diameter,radius,diameter_err,thickness,thickness_err,index
0,0.0,0.0,Gr1,0.71,30.8,15.4,2.9,113.0,8.0,0
1,-0.75,345.16,Ga1,0.93,34.5,17.25,3.2,141.0,12.0,1
2,30.7,10.2,V1,0.86,29.9,14.95,3.1,130.0,13.0,2
3,11.68,328.47,M13,0.72,36.6,18.3,4.3,130.0,8.0,3
4,55.71,0.71,Ar1,0.0,33.0,16.5,0.0,70.0,0.0,4
5,55.71,1.05,Ar1e,0.4,14.2,7.1,1.7,71.0,2.0,5
6,11.06,36.75,C11,0.93,20.5,10.25,3.1,82.0,10.0,6
7,-26.63,312.12,Pa1,0.87,13.4,6.7,2.8,65.0,8.0,7
8,47.08,330.84,L6,0.47,14.0,7.0,1.5,50.0,2.0,8
9,31.89,10.26,V2,0.84,12.6,6.3,1.8,80.0,5.0,9
10,7.06,34.66,C9,0.0,13.3,6.65,0.0,15.0,0.0,10
11,10.0,35.19,C10,0.0,19.2,9.6,0.0,50.0,0.0,11
